datetime,granularity,style,variation,model,n_samples,precision,recall,micro_f1,macro_f1,result_file,f1_building,f1_location,f1_organization,f1_other,f1_art,f1_person,f1_building-hotel,f1_building-other,f1_location-GPE,f1_organization-showorganization,f1_product-airplane,f1_person-artist/author,f1_art-music,f1_person-other,f1_event,f1_product,f1_art-other,f1_event-sportsevent,f1_location-park,f1_organization-other,f1_product-other,f1_product-ship,f1_product-weapon,f1_person-soldier,f1_other-astronomything,f1_organization-sportsleague,f1_organization-sportsteam,f1_art-film,f1_building-restaurant,f1_person-actor,f1_building-sportsfacility,f1_organization-company,f1_organization-government/governmentagency
2026-02-10 14:06:31,coarse,pl,v0_original,falcon3:latest,1,1.0,0.5,0.6667,0.5556,coarse_pl_v0_original_falcon3:latest_20260210_140627.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:32,coarse,pl,lexical_substitution,falcon3:latest,1,1.0,0.75,0.8571,0.8889,coarse_pl_lexical_substitution_falcon3:latest_20260210_140631.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:33,coarse,pl,reodering,falcon3:latest,1,1.0,0.75,0.8571,0.8889,coarse_pl_reodering_falcon3:latest_20260210_140632.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:34,coarse,pl,sentence_reordering,falcon3:latest,1,1.0,0.75,0.8571,0.8889,coarse_pl_sentence_reordering_falcon3:latest_20260210_140633.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:35,coarse,pl,backtrans_ch,falcon3:latest,1,1.0,0.75,0.8571,0.8889,coarse_pl_backtrans_ch_falcon3:latest_20260210_140634.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:36,coarse,pl,backtrans_sp,falcon3:latest,1,1.0,0.75,0.8571,0.8889,coarse_pl_backtrans_sp_falcon3:latest_20260210_140635.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:37,coarse,pl,backtrans_tu,falcon3:latest,1,1.0,0.75,0.8571,0.8889,coarse_pl_backtrans_tu_falcon3:latest_20260210_140636.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:38,coarse,nl,v0_original,falcon3:latest,1,0.0,0.0,0.0,0.0,coarse_nl_v0_original_falcon3:latest_20260210_140638.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:38,coarse,nl,lexical_substitution,falcon3:latest,1,0.0,0.0,0.0,0.0,coarse_nl_lexical_substitution_falcon3:latest_20260210_140638.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:39,coarse,nl,reodering,falcon3:latest,1,0.0,0.0,0.0,0.0,coarse_nl_reodering_falcon3:latest_20260210_140638.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:39,coarse,nl,sentence_reordering,falcon3:latest,1,0.0,0.0,0.0,0.0,coarse_nl_sentence_reordering_falcon3:latest_20260210_140639.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:40,coarse,nl,backtrans_ch,falcon3:latest,1,0.0,0.0,0.0,0.0,coarse_nl_backtrans_ch_falcon3:latest_20260210_140639.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:41,coarse,nl,backtrans_sp,falcon3:latest,1,1.0,0.25,0.4,0.3333,coarse_nl_backtrans_sp_falcon3:latest_20260210_140640.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:41,coarse,nl,backtrans_tu,falcon3:latest,1,0.0,0.0,0.0,0.0,coarse_nl_backtrans_tu_falcon3:latest_20260210_140641.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:43,fine,pl,v0_original,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_pl_v0_original_falcon3:latest_20260210_140641.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:45,fine,pl,lexical_substitution,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_pl_lexical_substitution_falcon3:latest_20260210_140643.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:47,fine,pl,reodering,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_pl_reodering_falcon3:latest_20260210_140645.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:49,fine,pl,sentence_reordering,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_pl_sentence_reordering_falcon3:latest_20260210_140647.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:51,fine,pl,backtrans_ch,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_pl_backtrans_ch_falcon3:latest_20260210_140649.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:52,fine,pl,backtrans_sp,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_pl_backtrans_sp_falcon3:latest_20260210_140651.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:54,fine,pl,backtrans_tu,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_pl_backtrans_tu_falcon3:latest_20260210_140652.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:55,fine,nl,v0_original,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_nl_v0_original_falcon3:latest_20260210_140654.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:57,fine,nl,lexical_substitution,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_nl_lexical_substitution_falcon3:latest_20260210_140655.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:58,fine,nl,reodering,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_nl_reodering_falcon3:latest_20260210_140657.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:06:59,fine,nl,sentence_reordering,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_nl_sentence_reordering_falcon3:latest_20260210_140658.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:07:01,fine,nl,backtrans_ch,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_nl_backtrans_ch_falcon3:latest_20260210_140659.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:07:07,fine,nl,backtrans_sp,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_nl_backtrans_sp_falcon3:latest_20260210_140701.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 14:07:08,fine,nl,backtrans_tu,falcon3:latest,1,0.0,0.0,0.0,0.0,fine_nl_backtrans_tu_falcon3:latest_20260210_140707.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:17,coarse,pl,v0_original,qwen2.5:7b,1,0.6667,0.5,0.5714,0.3333,coarse_pl_v0_original_qwen2.5:7b_20260210_160713.json,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:18,coarse,pl,lexical_substitution,qwen2.5:7b,1,0.6667,0.5,0.5714,0.3333,coarse_pl_lexical_substitution_qwen2.5:7b_20260210_160717.json,1.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:18,coarse,pl,reodering,qwen2.5:7b,1,0.6667,0.5,0.5714,0.3333,coarse_pl_reodering_qwen2.5:7b_20260210_160718.json,1.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:19,coarse,pl,sentence_reordering,qwen2.5:7b,1,0.5,0.25,0.3333,0.2222,coarse_pl_sentence_reordering_qwen2.5:7b_20260210_160719.json,0.6667,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:20,coarse,pl,backtrans_ch,qwen2.5:7b,1,1.0,0.75,0.8571,0.6667,coarse_pl_backtrans_ch_qwen2.5:7b_20260210_160719.json,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:21,coarse,pl,backtrans_sp,qwen2.5:7b,1,1.0,0.75,0.8571,0.6667,coarse_pl_backtrans_sp_qwen2.5:7b_20260210_160720.json,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:22,coarse,pl,backtrans_tu,qwen2.5:7b,1,1.0,0.75,0.8571,0.6667,coarse_pl_backtrans_tu_qwen2.5:7b_20260210_160721.json,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:22,coarse,nl,v0_original,qwen2.5:7b,1,1.0,0.75,0.8571,0.8889,coarse_nl_v0_original_qwen2.5:7b_20260210_160722.json,0.6667,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:23,coarse,nl,lexical_substitution,qwen2.5:7b,1,0.0,0.0,0.0,0.0,coarse_nl_lexical_substitution_qwen2.5:7b_20260210_160722.json,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:24,coarse,nl,reodering,qwen2.5:7b,1,0.3333,0.25,0.2857,0.3333,coarse_nl_reodering_qwen2.5:7b_20260210_160723.json,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:25,coarse,nl,sentence_reordering,qwen2.5:7b,1,0.0,0.0,0.0,0.0,coarse_nl_sentence_reordering_qwen2.5:7b_20260210_160724.json,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:25,coarse,nl,backtrans_ch,qwen2.5:7b,1,0.0,0.0,0.0,0.0,coarse_nl_backtrans_ch_qwen2.5:7b_20260210_160725.json,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:27,coarse,nl,backtrans_sp,qwen2.5:7b,1,0.0,0.0,0.0,0.0,coarse_nl_backtrans_sp_qwen2.5:7b_20260210_160725.json,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:27,coarse,nl,backtrans_tu,qwen2.5:7b,1,0.0,0.0,0.0,0.0,coarse_nl_backtrans_tu_qwen2.5:7b_20260210_160727.json,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:29,fine,pl,v0_original,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_pl_v0_original_qwen2.5:7b_20260210_160727.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:30,fine,pl,lexical_substitution,qwen2.5:7b,1,0.5,0.25,0.3333,0.25,fine_pl_lexical_substitution_qwen2.5:7b_20260210_160729.json,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:32,fine,pl,reodering,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_pl_reodering_qwen2.5:7b_20260210_160731.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:34,fine,pl,sentence_reordering,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_pl_sentence_reordering_qwen2.5:7b_20260210_160732.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:35,fine,pl,backtrans_ch,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_pl_backtrans_ch_qwen2.5:7b_20260210_160734.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:37,fine,pl,backtrans_sp,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_pl_backtrans_sp_qwen2.5:7b_20260210_160735.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:38,fine,pl,backtrans_tu,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_pl_backtrans_tu_qwen2.5:7b_20260210_160737.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:39,fine,nl,v0_original,qwen2.5:7b,1,1.0,0.25,0.4,0.25,fine_nl_v0_original_qwen2.5:7b_20260210_160738.json,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:41,fine,nl,lexical_substitution,qwen2.5:7b,1,0.5,0.25,0.3333,0.25,fine_nl_lexical_substitution_qwen2.5:7b_20260210_160739.json,,,,,,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:43,fine,nl,reodering,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_nl_reodering_qwen2.5:7b_20260210_160741.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:45,fine,nl,sentence_reordering,qwen2.5:7b,1,0.5,0.25,0.3333,0.25,fine_nl_sentence_reordering_qwen2.5:7b_20260210_160743.json,,,,,,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:46,fine,nl,backtrans_ch,qwen2.5:7b,1,0.3333,0.25,0.2857,0.25,fine_nl_backtrans_ch_qwen2.5:7b_20260210_160745.json,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:48,fine,nl,backtrans_sp,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_nl_backtrans_sp_qwen2.5:7b_20260210_160746.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:07:50,fine,nl,backtrans_tu,qwen2.5:7b,1,0.0,0.0,0.0,0.0,fine_nl_backtrans_tu_qwen2.5:7b_20260210_160748.json,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10 16:21:36,coarse,pl,v0_original,qwen2.5:7b,5,0.4444,0.4444,0.4444,0.3278,coarse_pl_v0_original_qwen2.5:7b_20260210_162134.json,0.8,0.0,0.5,0.0,,0.0,,,,,,,,,0.0,0.6667,,,,,,,,,,,,,,,,,
